user_id,trips_per_month,ratio_stay_time_in_home,trip_length,rg_time,rg_quantity,shopping,recreation,restaurant,ratio_of_uninterested_trips,rg4/rg_quantity,k_quantity,random_entropy,location_entropy,OD_entropy,sequence_entropy,distance_from_home_entropy,speed_std_mean,speed_mean_std,speed_std_max,acceleration_std_max,harsh_shift_ratio_std,harsh_steering_ratio_std,harsh_shift_ratio_mean,harsh_steering_ratio_mean,speed_mean,speed_max,over_speed_ratio,over_speed_quantity,junction_over_speed,junction_speed_mean,day_entropy,datetime_entropy
155,99.8340249,0.140445249,10.75203081,15.3521813,14.01612101,0.002661503,0.029164557,0.125959199,0.405236908,1.028537335,3,7.200360933,6.357927708,7.905308829,5.171655219,4.531880845,4.931976172,3.603339155,9.872936792,1.038246577,0.011200888,0.045360621,0.007412947,0.038384246,8.852377131,18.78419131,0.032096378,10.70947631,0.250516573,5.302708119,3.840535982,6.235970401
156,33.85892116,0.306024882,6.180962775,5.268087679,6.257773698,0.017688542,0.022414396,0.070361479,0.169117647,0.728972734,2,4.956216383,3.657114632,5.548295492,3.008388812,2.848825336,5.115016886,3.008594282,10.33807701,1.788473226,0.012919228,0.031958377,0.021851145,0.032012962,9.913666043,20.89731476,0.012383615,43.91176471,0.409734305,7.497947874,3.079730723,5.171221777
157,23.84615385,0.325810949,7.814905579,10.20534303,10.14329367,0.006452805,0.047201422,0.112074356,0.231182796,0.782429194,2,4.613901987,3.487385311,5.348138855,3.047817075,2.681720482,4.756024727,3.146688287,8.250898534,5.582677443,0.064992732,0.070416173,0.061481167,0.09557866,7.52806258,20.21186658,0.013644517,29.8172043,0.401733612,7.069419412,3.502019481,5.340340286
158,38.92561983,0.256380558,9.845754358,8.420589161,8.040871502,0.012178705,0.023956693,0.036410634,0.159235669,0.984420628,2,5.018973061,3.549193211,5.508425058,2.880291717,2.920007991,6.297588235,3.449367055,8.855619726,3.857610396,0.02216916,0.045793774,0.031190313,0.051926482,11.18041845,24.3408795,0.092507813,168.3089172,0.418429773,7.574653557,3.056022703,5.210567615
159,84.04958678,0.511465868,3.303683413,2.952929309,3.809913343,0.003831039,0.022984642,0.199155404,0.119469027,0.37149338,5,5.551555656,3.400627828,5.612484376,2.755783654,2.462164978,3.974559127,2.509578825,8.710530557,2.406939505,0.024376485,0.043449863,0.049478355,0.099561584,6.556444284,18.45399019,0.007412507,13.36725664,0.21981527,5.357786603,3.891355316,6.374494964
160,60.49586777,0.224199044,4.503384886,5.653345373,4.998739614,0.008964971,0.020007805,0.142309304,0.176229508,0.481311895,15,5.53156767,3.856918623,6.138715433,3.213367818,2.625175599,4.623449415,2.192549197,8.493274105,2.12329237,0.015010498,0.050240657,0.024514653,0.07521948,7.437054106,19.69136413,0.006283848,16.96721311,0.242534838,5.436265098,3.462762798,5.713295125
161,20.25641026,0.350473583,3.341868159,3.628705711,5.431346712,0.000226023,0.022170522,0.155135088,0.164556962,0.072791164,15,3.906978275,2.633651765,4.399566409,2.387501377,1.878935636,3.650423306,3.373629977,8.109507451,3.680521456,0.023688816,0.056030399,0.026031253,0.08784761,6.025261977,16.42696924,0.018815387,51.6835443,0.150646835,4.787578549,3.63679861,5.19667558
162,18.78151261,0.335380355,5.636883385,5.186404291,6.706503771,0.008157365,0.021442103,0.127868575,0.208053691,0.807265089,4,4.344505106,3.698419726,5.022564386,3.238046235,2.801438265,4.60482891,2.705494319,7.672338276,2.636318143,0.030054298,0.046714261,0.063152708,0.080740549,8.032506134,20.54297682,0.017287465,35.9261745,0.332939586,6.931736803,3.59183054,4.902578551
163,88.86075949,0.145639907,5.26672787,11.56102066,7.913626766,0.007517009,0.031215202,0.043892523,0.210826211,0.106697757,25,6.320204274,4.912595144,7.197748873,3.952039109,3.077316737,4.383871642,2.787985657,8.249638266,2.549686168,0.016199825,0.037625207,0.026374918,0.04321654,8.658955635,17.99887029,0.017273242,24.74786325,0.257551291,5.883300284,3.964896518,6.484024852
164,81.5,0.31507124,9.205379897,7.28218468,8.603072054,0.000814026,0.028248765,0.124355267,0.124233129,0.72396115,3,5.687017755,4.132486613,6.617230559,3.356504984,3.335128876,4.968979054,1.954567976,9.782484708,2.523524853,0.008475515,0.021557958,0.016587109,0.039817399,8.84523999,20.47303804,0.01504136,32.16871166,0.391662968,7.373098562,3.675823031,6.171644641
165,25,0.152548134,4.478428487,4.458959728,4.415955795,0.010787569,0.021677934,0.017925838,0.297435897,0.194078774,5,5.157228231,4.544606164,5.925154145,3.734583483,3.097792451,4.352933408,2.684108955,8.136934707,2.969613069,0.020420964,0.021380646,0.027741957,0.020835808,8.760702724,17.99893069,0.018584676,18.17948718,0.287032954,5.483764939,3.729923857,5.381904571
166,49.46280992,0.68181421,4.528906936,5.666434311,6.022884813,0.011997591,0.03206556,0.114288472,0.120300752,0.404992298,5,4.518766209,2.349030324,3.542390944,1.51569192,2.025976101,4.011513678,2.412620216,10.16163929,2.103456948,0.022680407,0.041000455,0.046763678,0.096222864,7.064020513,16.60432336,0.016217962,29.0726817,0.494627223,7.94069197,2.453901856,4.940585358
167,24.125,0.44169013,8.144798956,7.126164575,9.385540995,0.001130344,0.015214684,0.16578569,0.207253886,0.59322206,3,4.514848322,3.495962624,5.171158132,2.947482287,2.965190748,4.586594222,2.463539388,7.251675081,3.485612868,0.025504772,0.039590999,0.040211397,0.077597414,8.123103132,19.98278919,0.005557441,13.37823834,0.30318314,6.169077509,3.498321778,5.273137211
168,55.38461538,0.220762445,6.056467552,6.129148028,6.08901102,0.009008663,0.007783456,0.057043122,0.092592593,0.602856436,2,4.566268023,2.608030495,4.429313683,2.133348455,2.219418892,4.671667318,1.57644646,8.768493234,1.427270389,0.011330789,0.012922843,0.028698689,0.019508607,8.922802891,21.51766407,0.007790917,15.25231481,0.431410023,7.717937482,2.77311017,5.110672731
169,15.70815451,0.310575563,3.225314934,4.129449672,3.877774038,0.002228538,0.012003773,0.090509503,0.180327869,0.430115418,14,3.619420829,3.091718563,4.158756121,2.683550207,2.352321059,4.068991749,1.587867713,7.641860965,3.356911189,0.022044035,0.034015132,0.049990397,0.054895574,7.490134727,19.04870712,0.00340359,5.614754098,0.3507138,6.985306689,3.167594699,4.360955065
170,18.13043478,0.18684285,5.811021529,8.47368461,7.099414708,0.000331599,0.009120862,0.052078215,0.35971223,0.318723675,17,4.712242093,4.075509456,5.420136799,3.509394517,2.940903495,5.308534638,3.111262624,9.426555421,1.459460094,0.018397697,0.027699209,0.032345556,0.03108081,10.00181497,20.54001431,0.032600743,38.43884892,0.495344048,8.857995713,3.855705495,5.338343086
171,35.45454545,0.580724285,7.952388953,7.082227454,9.097759897,0.001543741,0.02878657,0.078871091,0.179487179,0.77633218,3,5.040738429,3.313214533,5.327039694,2.853263527,2.713034623,5.580827707,3.048632958,11.04398837,2.519246284,0.019646806,0.036370656,0.032560046,0.06605405,10.06667056,22.9728548,0.036417512,95.13186813,0.439889248,7.910150953,3.91285249,5.984347323
172,38.58921162,0.377484641,10.42768527,13.46215092,12.78208056,0.003696012,0.032063757,0.279864002,0.329032258,0.849271568,3,5.445310291,4.289693865,6.032090742,3.78527436,3.137638445,4.9929534,3.715212654,8.623593183,5.113886041,0.060930203,0.0672988,0.075304017,0.09997032,9.645369823,23.7946896,0.044902722,105.3516129,0.425773979,7.468449019,4.004755949,5.816336397
173,52.68595041,0.260276818,11.34344101,25.91629651,24.12753191,0.002889803,0.02539061,0.02673781,0.228235294,1.049846283,2,5.679143627,4.531033158,6.439311949,3.684606332,3.432146103,4.295888395,2.73928444,8.419023685,2.355342866,0.015928197,0.03515958,0.02489343,0.05553027,7.998818318,18.5873771,0.016158443,70.11058824,0.315018433,6.33285791,3.906763048,6.025838629
174,21.125,0.105959419,7.121229402,15.65960967,11.16630789,0.005256623,0.03436744,0.074234408,0.301775148,0.121703882,25,4.956056213,4.545275938,5.686467691,3.861022983,3.178380327,5.025803126,3.91478612,10.10086537,3.831874013,0.025429892,0.043859833,0.040329654,0.048376153,9.267838059,20.88508672,0.046464136,61.44378698,0.453806379,7.871747938,3.166707362,4.96550765
175,27.06382979,0.336263148,6.31826373,5.575371084,5.73957407,0.002399663,0.016868877,0.202736379,0.216981132,0.609116388,4,4.741064046,3.687024064,5.523414043,3.100790718,2.871670742,4.923203748,2.107952798,8.277032613,0.66569147,0.005214084,0.03951709,0.002379973,0.054753984,7.920068053,18.28416599,0.00318578,0.891509434,0.227640734,5.529131838,3.555807926,5.486754312
176,64.76987448,0.839193995,2.278968117,5.504021465,4.715365504,0.007070439,0.068341595,0.34949836,0.065891473,0.479186096,7,4.179598089,1.566811453,2.834765051,1.332973083,1.344608562,3.777622543,2.269495963,7.583902461,4.183385295,0.040730224,0.061219312,0.074352142,0.136103551,6.033910053,18.3052512,0.003477476,5.5,0.211350827,5.46026208,4.010043737,6.277321433
177,28.75,0.628629685,6.881818704,6.463330197,6.589151677,0.000914914,0.030646826,0.070960847,0.130434783,0.874666028,2,4.171810132,2.293063737,3.689730056,1.820491692,1.921371474,5.970368084,3.057937706,8.195068995,7.415699521,0.046764776,0.032025927,0.041045191,0.043979076,11.89734155,24.39060427,0.055786144,60.3173913,0.324902068,7.211842669,2.249900471,4.289195954
178,46.85950413,0.375448189,3.23544576,2.646076488,3.501602039,0.033804617,0.018567277,0.009901706,0.132275132,0.604550819,2,4.967153216,3.589636622,5.78770436,3.042393336,2.457462736,4.92760181,2.361017052,10.08025846,2.446687077,0.01253244,0.023785282,0.021819958,0.032025385,8.068998409,19.35135534,0.01940521,20.6984127,0.249349429,5.848595313,3.81250649,6.030686364
179,55.06329114,0.124728957,8.651342683,9.381409877,8.972498932,0.001286546,0.019751011,0.125046365,0.266666667,0.816857455,2,6.035214385,5.013067671,6.922987128,4.139151708,3.863447616,6.126400723,3.516045925,10.33159396,2.573324104,0.028160602,0.027087306,0.04859225,0.026108616,10.12804065,24.19719234,0.082168913,93.14482759,0.37262803,7.488915776,3.524530833,5.687358882
180,48.14814815,0.191365824,12.05524101,11.19237058,10.68615369,0.00627461,0.018038096,0.140270109,0.135897436,0.96842528,2,4.915436493,3.65522445,5.691229816,2.894735417,3.09521021,7.066125718,3.116541036,10.54936854,3.35731884,0.027342638,0.043109779,0.051863315,0.085709548,10.85189321,26.57701856,0.121768144,245.6179487,0.359526397,7.452425631,3.451506083,5.479677024
181,22.3880597,0.538306378,4.697854946,15.19750639,10.94671003,0.007101959,0.002581856,0.097177349,0.186666667,0.29125047,6,4.160248331,2.339235885,3.387952518,1.838783967,2.084814947,3.50283479,4.469302192,11.51301654,6.862679926,0.118168649,0.114971558,0.118511562,0.172217496,5.10165879,17.67092217,0.029186289,11.02,0.07874808,1.641058559,4.314249954,5.881774794
182,47.23140496,0.561291131,10.44550504,9.533138037,10.84005318,0.00157932,0.022236576,0.103699581,0.540682415,0.19445533,11,6.553892265,5.375172285,7.019895043,4.860238594,3.870188126,5.5096107,2.758908833,9.504520802,0.828743085,0.008439446,0.033186537,0.005382424,0.040292858,8.11300376,21.26681532,0.025574033,12.15485564,0.325301569,6.103750867,3.255040938,5.566451171
183,32.47933884,0.627796485,5.136046118,4.818761056,4.6639118,0.00239516,0.02304779,0.032007217,0.114503817,0.843304244,2,4.336920261,2.69190648,4.485188503,2.352530117,2.076197014,5.548549029,2.20893621,10.01113186,2.900478349,0.039161729,0.045297095,0.06402541,0.08052647,9.724561233,22.3425111,0.022214759,38.75572519,0.536481681,8.775925781,3.816841439,5.837837406
184,23.84937238,0.466709498,1.847611225,1.66135752,1.657716485,0.002585685,0.042211542,0.051382829,0.057894737,0.889857234,2,3.62398834,2.692846268,4.505512096,2.309325713,1.888601848,4.473504505,1.738234999,6.180722776,3.618075968,0.021729106,0.046113278,0.048594154,0.065575403,8.450385159,18.61691553,0.000470594,0.142105263,0.401609523,7.248383818,2.173134985,4.092841735
185,88.25726141,0.190070073,5.8982851,8.5422204,9.180104493,0.001381681,0.014033473,0.038086139,0.155148096,0.233075315,21,6.06740977,4.27454139,6.519206273,3.398230113,3.334351679,4.571921939,2.268173586,11.28807942,2.202688543,0.024485638,0.038444231,0.037175595,0.078086955,7.851353267,19.62117669,0.013882236,34.85754584,0.349314727,6.952339975,4.02563069,6.47786484
186,28.06034483,0.217408767,9.872547034,9.887414207,11.03770832,0.003327278,0.012673259,0.122991741,0.31797235,0.503892222,4,5.347510596,4.540898234,6.116587597,3.721807386,3.603431215,4.301008906,2.201721162,7.895250468,1.569866395,0.013360412,0.042275217,0.027132861,0.062867005,6.836049617,18.95113363,0.006641008,28.65437788,0.230006376,5.471761391,3.926270201,5.67404264
187,61.15384615,0.488143025,3.782618315,5.932100634,7.052432515,0.00888107,0.016041128,0.067736994,0.056603774,0.280709964,11,4.258700748,2.494820586,4.501809853,2.12744777,1.819329577,4.026246699,1.700917216,6.877128987,1.654763057,0.012141825,0.022095991,0.024400455,0.048290224,8.051660812,17.67300476,0.001374083,3.693920335,0.411380423,7.318714229,3.067072375,5.392644337
188,56.63900415,0.304147602,16.53686964,12.93978692,12.98753599,0.012340574,0.030127336,0.25640526,0.079120879,0.990976105,2,4.345024679,2.28406244,3.982799171,1.865666482,2.078614278,7.268245162,4.208117018,10.85017976,2.302988575,0.025400291,0.04767807,0.036503503,0.063065177,13.58005471,28.01696036,0.213054881,448.0813187,0.443923026,8.519466466,3.527240657,5.829848267
