userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon
20,2019-05-06 08:57:52,2019-05-06 18:03:55,22.569008,113.895048,0 days 09:06:03,0,0,22.56868187804879,113.8951422764228
20,2019-05-06 18:25:04,2019-05-07 08:16:33,22.570968,113.863878,0 days 13:51:29,1,1,22.570867200000006,113.8639100727273
20,2019-05-07 08:36:14,2019-05-08 08:24:43,22.56815,113.89481,0 days 23:48:29,2,0,22.56868187804879,113.8951422764228
20,2019-05-08 08:44:51,2019-05-08 22:47:49,22.569047,113.895125,0 days 14:02:58,2,0,22.56868187804879,113.8951422764228
20,2019-05-08 22:54:52,2019-05-09 08:30:07,22.564927,113.901458,0 days 09:35:15,3,7,22.56458275,113.90282049999999
20,2019-05-09 08:48:36,2019-05-10 08:26:58,22.569103,113.894937,0 days 23:38:22,4,0,22.56868187804879,113.8951422764228
20,2019-05-10 08:59:06,2019-05-10 21:31:36,22.531702,113.909485,0 days 12:32:30,4,4,22.531471999999997,113.90933166666667
20,2019-05-10 22:00:10,2019-05-13 13:44:53,22.578523,113.86561,2 days 15:44:43,0,-1,22.578523,113.86561
20,2019-05-13 14:14:57,2019-05-14 12:50:56,22.566658,113.895608,0 days 22:35:59,1,0,22.56868187804879,113.8951422764228
20,2019-05-14 13:04:38,2019-05-15 12:13:24,22.569108,113.895003,0 days 23:08:46,2,0,22.56868187804879,113.8951422764228
20,2019-05-15 12:32:08,2019-05-16 12:22:15,22.56911,113.895063,0 days 23:50:07,3,0,22.56868187804879,113.8951422764228
20,2019-05-16 12:34:26,2019-05-17 13:33:53,22.569167,113.89505,1 days 00:59:27,4,0,22.56868187804879,113.8951422764228
20,2019-05-17 13:51:46,2019-05-17 19:48:18,22.568965,113.895125,0 days 05:56:32,4,0,22.56868187804879,113.8951422764228
20,2019-05-17 20:10:02,2019-05-18 08:19:25,22.57088,113.863908,0 days 12:09:23,5,1,22.570867200000006,113.8639100727273
20,2019-05-18 08:51:34,2019-05-18 09:11:50,22.643165,113.855508,0 days 00:20:16,5,2,22.64446116666667,113.85613316666667
20,2019-05-18 09:46:36,2019-05-18 15:21:56,22.57092,113.863812,0 days 05:35:20,5,1,22.570867200000006,113.8639100727273
