userid,checkin_time,checkout_time,sp_lat,sp_lon,stay_duration,sp_week_day,cluster_label,cluster_lat,cluster_lon,speed_mean,speed_std,speed_max,acceleration_std,harsh_acceleration,harsh_breaking,harsh_steering,harsh_acceleration_ratio,harsh_breaking_ratio,harsh_steering_ratio,over_speed,over_speed_ratio,junction_over_speed,junction_speed_mean,fatigue_driving
20,2019-05-18 08:51:34,2019-05-18 09:11:50,22.643165,113.855508,0 days 00:20:16,5,2,22.64446116666667,113.85613316666668,7.192059803406546,5.336490568700481,17.506705204780694,0.384551074651636,0,1,17,0.0,0.00392156862745098,0.06666666666666667,0,0.0,0.4,6.810739111845711,0
20,2019-05-18 09:46:36,2019-05-18 15:21:56,22.57092,113.863812,0 days 05:35:20,5,1,22.57086720000001,113.8639100727273,6.508999139834412,4.768322113844589,17.275544574553738,0.29730305403572044,0,0,5,0.0,0.0,0.015105740181268883,0,0.0,0.0,6.331538275770425,0
20,2019-05-18 15:57:05,2019-05-18 17:16:49,22.6439,113.855467,0 days 01:19:44,5,2,22.64446116666667,113.85613316666668,8.008496990004359,4.448514684890584,17.407614470056465,0.35430891861487307,0,1,17,0.0,0.0030959752321981426,0.05263157894736842,0,0.0,0.25,8.20810789138771,0
20,2019-05-18 18:00:50,2019-05-19 05:26:54,22.571065,113.863953,0 days 11:26:04,6,1,22.57086720000001,113.8639100727273,5.114464669858275,4.004464336417109,19.43502655583414,0.31508347940649933,0,0,4,0.0,0.0,0.009615384615384616,0,0.0,0.26666666666666666,5.173144389604951,0
20,2019-05-19 06:26:23,2019-05-19 16:34:07,22.607403,114.301022,0 days 10:07:44,6,-1,22.607403,114.301022,17.088096970850078,7.623025349955229,30.336634693684864,0.44337325124004834,3,5,5,0.005454545454545455,0.00909090909090909,0.00909090909090909,159,0.28909090909090907,0.8,10.944621240105102,0
20,2019-05-19 18:26:57,2019-05-20 08:29:08,22.570723,113.863802,0 days 14:02:11,0,1,22.57086720000001,113.8639100727273,9.210487825242932,5.672892464643389,21.592562262250475,0.3160918265531587,0,0,23,0.0,0.0,0.02169811320754717,0,0.0,0.3076923076923077,5.990060038193068,0
20,2019-05-20 08:47:59,2019-05-20 20:10:11,22.569027,113.89509,0 days 11:22:12,0,0,22.56868187804879,113.8951422764228,6.818580373046018,4.169382814369369,17.03080749056388,0.41744127848738694,0,0,1,0.0,0.0,0.007142857142857143,0,0.0,0.0,5.750344093987955,0
20,2019-05-20 20:27:04,2019-05-22 10:05:26,22.57093,113.863938,1 days 13:38:22,2,1,22.57086720000001,113.8639100727273,5.93137512927967,4.298982053030229,20.263870843267604,0.3801900841083118,0,0,5,0.0,0.0,0.031055900621118012,0,0.0,0.07692307692307693,4.018706254252587,0
20,2019-05-22 10:21:52,2019-05-22 10:53:47,22.64484,113.857087,0 days 00:31:55,2,2,22.64446116666667,113.85613316666668,6.212854787235603,4.310561512691021,16.232323976756685,0.4193740829337631,1,0,12,0.007692307692307693,0.0,0.09230769230769231,0,0.0,0.0,5.860270494524867,0
20,2019-05-22 11:22:47,2019-05-22 14:13:56,22.570757,113.863762,0 days 02:51:09,2,1,22.57086720000001,113.8639100727273,8.065085378222497,5.227872405002985,19.437874976251106,0.38180065192602414,0,0,2,0.0,0.0,0.007782101167315175,0,0.0,0.16666666666666666,3.989501731502486,0
20,2019-05-22 14:33:37,2019-05-23 08:25:00,22.568882,113.894942,0 days 17:51:23,3,0,22.56868187804879,113.8951422764228,6.253898999192977,4.815421924537681,18.97686408760716,0.4329277593749347,0,1,3,0.0,0.006329113924050633,0.0189873417721519,0,0.0,0.3333333333333333,5.830800577427603,0
20,2019-05-23 08:49:55,2019-05-23 17:19:37,22.56906,113.894897,0 days 08:29:42,3,0,22.56868187804879,113.8951422764228,6.695805270896162,4.995375489905859,16.819665008499992,0.5044998529692991,0,2,5,0.0,0.013605442176870748,0.034013605442176874,0,0.0,0.5,8.271865733776806,0
20,2019-05-23 17:49:53,2019-05-24 08:15:35,22.570915,113.864018,0 days 14:25:42,4,1,22.57086720000001,113.8639100727273,5.1331687994840545,3.1268939754066465,14.895271704401065,0.3153378107574121,0,0,3,0.0,0.0,0.01485148514851485,0,0.0,0.16666666666666666,5.957977194878729,0
20,2019-05-24 08:34:32,2019-05-24 12:12:15,22.56902,113.894863,0 days 03:37:43,4,0,22.56868187804879,113.8951422764228,6.8702215262293205,4.770977031212629,18.317318204105423,0.4188020671500693,0,0,1,0.0,0.0,0.007246376811594203,0,0.0,0.0,4.432290793589122,0
20,2019-05-24 13:01:07,2019-05-24 16:34:35,22.514035,114.057697,0 days 03:33:28,4,-1,22.514035,114.057697,10.723432065228808,9.729846190985786,32.0622099579189,0.30220187797940967,0,0,13,0.0,0.0,0.02631578947368421,111,0.22469635627530365,0.0,8.040694329299708,0
20,2019-05-24 17:17:51,2019-05-24 18:09:58,22.569677,113.883547,0 days 00:52:07,4,8,22.569715666666667,113.88403566666666,11.28757276237306,8.825936089469549,28.837706319110303,0.29991415962805146,0,0,9,0.0,0.0,0.01978021978021978,89,0.1956043956043956,0.16666666666666666,7.0419669122146695,0
20,2019-05-24 18:20:41,2019-05-25 08:25:37,22.568898,113.869033,0 days 14:04:56,5,9,22.5690272,113.8691344,5.327293281032505,3.32016562217594,11.579855990583928,0.33146245547353054,0,0,0,0.0,0.0,0.0,0,0.0,0.0,6.271244438210502,0
20,2019-05-25 08:38:50,2019-05-25 11:32:51,22.566775,113.895542,0 days 02:54:01,5,0,22.56868187804879,113.8951422764228,8.810754741265892,4.78730767328832,18.94605782231632,0.4625529257962434,0,0,0,0.0,0.0,0.0,0,0.0,0.3333333333333333,7.2449527138680905,0
20,2019-05-25 12:18:47,2019-05-27 08:28:06,22.5709,113.863893,1 days 20:09:19,0,1,22.57086720000001,113.8639100727273,5.25405199126574,4.097412194242596,16.31399429521968,0.42108590890668607,1,1,3,0.004901960784313725,0.004901960784313725,0.014705882352941176,0,0.0,0.0,3.8773258109424362,0
20,2019-05-27 08:44:04,2019-05-27 19:43:15,22.56898,113.895145,0 days 10:59:11,0,0,22.56868187804879,113.8951422764228,6.902625585211921,4.364140624347176,18.30304584060547,0.39847486704657953,0,0,5,0.0,0.0,0.034722222222222224,0,0.0,0.0,4.8040089871896745,0
20,2019-05-27 20:05:32,2019-05-28 08:32:26,22.570947,113.863915,0 days 12:26:54,1,1,22.57086720000001,113.8639100727273,5.1128474203275704,4.098942977134634,16.685756122760036,0.29458299072229,0,0,3,0.0,0.0,0.013761467889908258,0,0.0,0.0,4.230876779371259,0
20,2019-05-28 08:52:15,2019-05-29 08:43:20,22.56917,113.894798,0 days 23:51:05,2,0,22.56868187804879,113.8951422764228,5.816753761902177,4.649371888490575,21.6445860260948,0.43386452173897594,0,0,1,0.0,0.0,0.006097560975609756,0,0.0,0.0,6.326412293604125,0
20,2019-05-29 09:00:48,2019-05-30 09:27:58,22.569068,113.895082,1 days 00:27:10,3,0,22.56868187804879,113.8951422764228,7.322658186981328,4.158770730617909,16.121449668586884,0.5211490252357865,0,0,3,0.0,0.0,0.023255813953488372,0,0.0,1.0,10.829380824287112,0
20,2019-05-30 09:42:25,2019-05-30 13:22:08,22.56889,113.895022,0 days 03:39:43,3,0,22.56868187804879,113.8951422764228,7.7990484117681405,5.4179045690760566,29.884724781177827,0.6991341245128871,2,1,3,0.016260162601626018,0.008130081300813009,0.024390243902439025,2,0.016260162601626018,0.5,7.985119241635451,0
20,2019-05-30 13:31:28,2019-05-30 17:59:56,22.552217,113.882073,0 days 04:28:28,3,-1,22.552217,113.882073,7.138788521446793,4.097861096277211,14.253844720597453,0.49193045814161834,0,0,1,0.0,0.0,0.012987012987012988,0,0.0,0.0,0.0,0
20,2019-05-30 18:17:08,2019-05-31 09:35:30,22.570762,113.863832,0 days 15:18:22,4,1,22.57086720000001,113.8639100727273,5.3215962498608995,3.200476251653588,12.073103755228685,0.36767166119351946,0,0,2,0.0,0.0,0.01639344262295082,0,0.0,0.0,5.940923083231074,0
20,2019-05-31 09:54:29,2019-06-04 09:47:43,22.56876,113.895195,3 days 23:53:14,1,0,22.56868187804879,113.8951422764228,7.018965632226841,4.685649915998575,17.591803666539438,0.4099309252128935,0,2,3,0.0,0.014925373134328358,0.022388059701492536,0,0.0,0.0,5.296017905838434,0
20,2019-06-04 10:03:50,2019-06-04 19:22:27,22.568932,113.894883,0 days 09:18:37,1,0,22.56868187804879,113.8951422764228,7.421698783453224,5.110945098788223,19.042850060467785,0.5283782106649129,0,1,5,0.0,0.007633587786259542,0.03816793893129771,0,0.0,0.0,6.309825673675379,0
20,2019-06-04 19:43:24,2019-06-05 08:42:06,22.570878,113.86396,0 days 12:58:42,2,1,22.57086720000001,113.8639100727273,5.878217295015337,3.725483008921514,15.839957162079688,0.35760012885962383,0,0,3,0.0,0.0,0.017543859649122806,0,0.0,0.2,4.931575124202017,0
20,2019-06-05 09:06:10,2019-06-05 14:37:13,22.5691,113.894905,0 days 05:31:03,2,0,22.56868187804879,113.8951422764228,5.611051827718383,3.966226005295749,14.825150549871625,0.3620917127684951,0,0,4,0.0,0.0,0.022988505747126436,0,0.0,0.0,1.3343795718336506,0
20,2019-06-05 14:53:56,2019-06-05 17:44:07,22.603565,113.849015,0 days 02:50:11,2,-1,22.603565,113.849015,8.481861691183207,4.909839162261019,17.474734292439035,0.2634980188951816,0,1,0,0.0,0.00847457627118644,0.0,0,0.0,0.5,7.797048234490688,0
20,2019-06-05 18:08:31,2019-06-06 08:21:48,22.570813,113.863817,0 days 14:13:17,3,1,22.57086720000001,113.8639100727273,5.461024521215525,5.010577192131785,18.55038927520824,0.34707647196504926,1,1,1,0.005434782608695652,0.005434782608695652,0.005434782608695652,0,0.0,0.1111111111111111,4.334552328403904,0
20,2019-06-06 08:47:40,2019-06-06 13:20:47,22.569032,113.894957,0 days 04:33:07,3,0,22.56868187804879,113.8951422764228,4.816498599981633,3.746210264554171,14.51185329187491,0.3619933029002037,0,0,5,0.0,0.0,0.024271844660194174,0,0.0,0.0,3.6973238404061055,0
20,2019-06-06 13:26:23,2019-06-06 14:43:43,22.56471,113.90321000000002,0 days 01:17:20,3,7,22.56458275,113.9028205,4.50148422001256,2.5514867221641,10.034260636721251,0.2377946176800206,0,0,0,0.0,0.0,0.0,0,0.0,0.0,4.1208443456998864,0
20,2019-06-06 15:13:01,2019-06-06 15:46:41,22.570777,113.86388999999998,0 days 00:33:40,3,1,22.57086720000001,113.8639100727273,5.247868577617064,4.318434006637547,22.951775466426326,0.36356548346884454,0,1,4,0.0,0.004329004329004329,0.017316017316017316,1,0.004329004329004329,0.125,5.224185776474646,0
20,2019-06-06 16:09:26,2019-06-07 00:35:23,22.568897,113.895168,0 days 08:25:57,4,0,22.56868187804879,113.8951422764228,5.668838459997735,3.3810038278581707,12.44760441109024,0.3217588687509441,0,0,2,0.0,0.0,0.012345679012345678,0,0.0,0.0,3.226921441461896,0
20,2019-06-07 00:48:45,2019-06-07 08:57:23,22.570978,113.864045,0 days 08:08:38,4,1,22.57086720000001,113.8639100727273,7.144698999826344,3.204045239264173,13.116667890658084,0.26669424394632113,0,0,4,0.0,0.0,0.029411764705882353,0,0.0,0.0,1.8231732665893574,0
20,2019-06-07 09:42:28,2019-06-07 13:04:55,22.63169,114.028653,0 days 03:22:27,4,10,22.632015666666664,114.028529,11.851142128735095,5.736955601737357,20.430827156720145,0.2837524396027865,0,0,7,0.0,0.0,0.01643192488262911,0,0.0,0.0,6.094665913992929,0
20,2019-06-07 13:50:04,2019-06-08 09:20:03,22.570927,113.863918,0 days 19:29:59,5,1,22.57086720000001,113.8639100727273,11.411148135762494,6.598370998184944,23.125469848759423,0.3525109049153038,1,1,2,0.002457002457002457,0.002457002457002457,0.004914004914004914,14,0.0343980343980344,0.5,7.878026126857467,0
20,2019-06-08 09:31:57,2019-06-08 12:40:28,22.56886,113.895082,0 days 03:08:31,5,0,22.56868187804879,113.8951422764228,7.660748339108316,4.551372120842427,16.596422684353453,0.4088942926573159,0,0,1,0.0,0.0,0.009523809523809525,0,0.0,1.0,11.064609551310207,0
20,2019-06-08 12:51:37,2019-06-08 13:36:51,22.571023,113.863975,0 days 00:45:14,5,1,22.57086720000001,113.8639100727273,8.058974844292742,4.092256233970092,17.607331118880758,0.376081620947514,0,0,4,0.0,0.0,0.031496062992125984,0,0.0,0.0,5.950639541139997,0
20,2019-06-08 13:46:20,2019-06-08 14:35:37,22.578217,113.865568,0 days 00:49:17,5,-1,22.578217,113.865568,7.22581048023559,3.9279298952122814,12.608221159387316,0.3774340981051696,0,0,1,0.0,0.0,0.02,0,0.0,0.0,0.0,0
20,2019-06-08 14:50:06,2019-06-10 09:40:16,22.569078,113.89511,1 days 18:50:10,0,0,22.56868187804879,113.8951422764228,8.797973815151046,5.179808370630551,18.620702012859173,0.5828308560701696,1,0,1,0.010752688172043012,0.0,0.010752688172043012,0,0.0,0.0,5.908751078122529,0
20,2019-06-10 09:53:51,2019-06-11 09:24:50,22.568887,113.895102,0 days 23:30:59,1,0,22.56868187804879,113.8951422764228,7.535626871722745,4.765188896997821,19.339540414595582,0.4057215804846763,0,1,3,0.0,0.008064516129032258,0.024193548387096774,0,0.0,0.5,7.672406295052221,0
20,2019-06-11 09:43:17,2019-06-11 19:20:40,22.5689,113.89506000000002,0 days 09:37:23,1,0,22.56868187804879,113.8951422764228,7.579238844369807,4.088491051662988,15.12953415813377,0.5021590569637038,1,0,1,0.007633587786259542,0.0,0.007633587786259542,0,0.0,0.0,8.205068466612882,0
20,2019-06-11 19:48:17,2019-06-12 09:19:51,22.570422,113.863927,0 days 13:31:34,2,1,22.57086720000001,113.8639100727273,5.102201472205712,4.324868219733606,18.084789914542,0.34009437734693815,0,0,4,0.0,0.0,0.021505376344086023,0,0.0,0.0,3.0648372832545374,0
20,2019-06-12 09:35:55,2019-06-13 09:24:34,22.5689,113.894997,0 days 23:48:39,3,0,22.56868187804879,113.8951422764228,7.3501125076688565,4.177429937705635,17.037003093943746,0.3974235231064379,0,0,3,0.0,0.0,0.022727272727272728,0,0.0,0.0,6.927641309061973,0
20,2019-06-13 09:40:03,2019-06-14 09:29:27,22.568855,113.89513,0 days 23:49:24,4,0,22.56868187804879,113.8951422764228,6.652186352192394,4.620772820280759,18.545700711017137,0.4482207877147127,0,1,2,0.0,0.007042253521126761,0.014084507042253521,0,0.0,0.0,4.149843784352219,0
